#{"t_start": 1743752298.8840184, "env_id": "None"}
7.8,23,72.500939
9.3,8,72.523118
7.8,14,72.55392
7.1,30,72.62442
9.3,8,72.642199
9.3,8,72.659864
7.7,24,72.725061
7.3,10,72.743193
8.4,8,72.76051
8.4,8,72.778899
9.3,8,72.800884
7.5,26,72.861894
8.4,8,72.883039
8.4,8,72.907938
8.2,10,72.931335
9.3,8,72.949621
9.3,8,72.967448
9.3,8,72.988518
9.3,8,73.012383
9.3,8,73.032165
9.3,8,73.051771
9.3,8,73.069657
6.6,26,73.13475
9.3,8,73.152092
8.4,8,73.170393
8.4,8,73.188725
9.3,8,73.210108
9.3,8,73.228242
8.6,15,73.260577
9.3,8,73.281396
8.4,8,73.307451
7.9,13,73.341068
8.4,8,73.35865
7.2,20,73.406871
8.4,8,73.431181
8.4,8,73.450484
8.4,8,73.469039
8.4,8,73.48696
7.7,24,73.547228
8.0,12,73.577724
9.3,8,73.596984
8.3,9,73.615275
9.3,8,73.638245
9.0,11,73.665696
9.3,8,73.686934
7.6,16,73.730879
9.1,10,73.757761
7.5,26,73.822878
8.4,8,73.843428
5.4,29,73.908807
9.3,8,73.938427
9.3,8,73.958126
9.0,11,73.983434
9.3,8,74.001051
8.4,8,74.025546
9.3,8,74.044821
9.2,9,74.063238
9.3,8,74.081037
8.4,8,74.103092
5.7,35,74.200059
9.3,8,74.220907
9.3,8,74.241769
7.2,29,74.311658
8.1,11,74.337369
7.7,24,74.39417
7.3,10,74.412795
8.4,8,74.436908
8.4,8,74.45688
8.4,8,74.480018
8.4,8,74.500966
8.4,8,74.526729
8.4,8,74.544594
8.4,8,74.562346
7.3,10,74.590827
9.3,8,74.61315
5.1,32,74.686712
8.4,8,74.708123
8.0,12,74.737281
9.3,8,74.76103
9.3,8,74.778751
9.3,8,74.798131
9.3,8,74.815341
9.3,8,74.840078
6.4,28,74.902903
9.3,8,74.920836
8.0,12,74.950154
6.2,30,75.03016
8.4,8,75.050523
8.2,10,75.077815
9.2,9,75.101661
9.3,8,75.123334
9.3,8,75.142821
8.2,10,75.161707
8.4,8,75.179869
8.4,8,75.203382
8.4,8,75.222354
8.4,8,75.240274
8.2,10,75.267586
8.4,8,75.291374
8.4,8,75.309507
8.4,8,75.327222
8.4,8,75.344969
8.2,19,75.396302
9.3,8,75.414923
7.3,10,75.437066
9.3,8,75.455884
9.3,8,75.478371
7.9,22,75.548963
7.3,10,75.57149
8.4,8,75.589421
6.2,30,75.664582
8.4,8,75.683947
8.4,8,75.70548
8.4,8,75.726106
8.4,8,75.749675
8.4,8,75.767572
7.5,8,75.785067
7.6,16,75.82022
9.3,8,75.844253
8.4,8,75.86243
8.4,8,75.879744
8.4,8,75.897898
5.5,28,75.963596
9.3,8,75.981347
7.7,24,76.050715
9.3,8,76.068974
9.3,8,76.09437
9.3,8,76.113237
8.0,12,76.140801
8.4,8,76.159293
8.4,8,76.181202
7.8,23,76.226595
8.4,8,76.244509
8.4,8,76.261999
8.4,8,76.284448
7.3,10,76.313455
6.8,15,76.3526
9.3,8,76.373037
8.4,8,76.398078
9.3,8,76.416806
9.2,9,76.440799
9.3,8,76.459288
9.3,8,76.48488
9.3,8,76.502674
9.3,8,76.521391
9.2,9,76.539942
9.3,8,76.561873
9.3,8,76.581982
9.3,8,76.600673
9.1,10,76.626423
9.1,10,76.651249
8.4,8,76.669197
8.4,8,76.689062
8.4,8,76.710802
7.9,13,76.742673
9.3,8,76.760101
9.3,8,76.777966
8.8,13,76.81305
8.4,8,76.835843
8.4,8,76.854886
8.4,8,76.87206
8.4,8,76.889448
9.2,9,76.91087
9.3,8,76.929284
9.3,8,76.946885
9.3,8,76.964381
9.3,8,76.987269
7.8,23,77.050643
6.6,35,77.123636
8.4,17,77.166559
8.4,8,77.188429
8.4,8,77.208648
6.8,24,77.263394
9.2,9,77.281729
9.2,9,77.305683
9.3,8,77.324345
9.2,9,77.343629
8.5,16,77.382789
7.0,13,77.422862
5.7,44,77.539306
8.4,8,77.559956
7.3,10,77.57907
7.8,14,77.621279
8.3,9,77.639654
8.4,8,77.65703
8.4,8,77.676389
8.4,8,77.703508
7.5,8,77.72233
8.4,8,77.74066
6.2,30,77.805254
9.0,11,77.838243
9.1,10,77.865618
9.3,8,77.883708
9.3,8,77.901927
9.3,8,77.923958
9.3,8,77.943104
7.7,24,77.996944
9.1,10,78.016177
4.4,48,78.143778
8.4,8,78.16266
8.4,8,78.181168
5.9,42,78.284456
7.6,16,78.328013
6.9,32,78.409239
8.3,9,78.430452
8.4,8,78.452726
9.2,9,78.480226
9.3,8,78.50103
9.3,8,78.521985
7.0,22,78.583606
6.8,24,78.645937
8.4,8,78.665073
7.3,10,78.687108
8.7,14,78.725209
9.3,8,78.74929
9.2,9,78.76796
8.4,8,78.786834
8.4,8,78.805307
8.4,8,78.830134
8.4,17,78.872437
8.4,8,78.891028
8.4,8,78.910732
8.2,10,78.947275
9.1,10,78.969071
9.3,8,78.989997
9.3,8,79.013966
8.2,10,79.047425
5.7,44,79.157336
8.6,15,79.189847
9.3,8,79.210298
9.2,9,79.244701
9.1,10,79.265224
9.1,10,79.293077
8.9,12,79.320939
8.4,8,79.342912
8.4,8,79.362251
8.4,8,79.390913
8.5,16,79.449032
9.3,8,79.478257
8.4,8,79.505194
7.5,8,79.535465
9.3,8,79.569947
9.3,8,79.602165
7.2,20,79.664305
8.2,10,79.69287
8.4,8,79.719974
7.0,22,79.815766
7.2,20,79.875217
6.4,28,79.956856
7.6,16,80.0028
8.4,8,80.029593
7.7,24,80.106067
8.4,8,80.131678
8.4,8,80.160968
8.4,8,80.199235
5.6,36,80.322672
8.4,8,80.345969
8.0,12,80.383514
9.3,8,80.41192
8.1,20,80.472766
8.4,8,80.496562
8.4,8,80.519487
8.4,8,80.552134
8.4,8,80.575167
9.0,11,80.599561
9.3,8,80.626132
8.4,8,80.664266
8.4,8,80.694509
8.4,8,80.719031
8.4,8,80.746038
8.4,8,80.786842
8.2,10,80.824358
8.4,8,80.850898
8.4,8,80.874714
8.4,8,80.906706
8.4,8,80.934351
8.4,8,80.959585
8.4,8,80.987395
8.4,8,81.019101
8.2,10,81.043833
6.0,14,81.094638
6.6,26,81.170613
7.1,21,81.259469
9.2,9,81.287961
8.4,8,81.311564
9.3,8,81.334368
4.3,31,81.4435
9.3,8,81.466729
9.2,9,81.490661
8.2,19,81.556078
8.4,8,81.596966
8.4,8,81.624125
8.3,9,81.649864
8.4,8,81.676005
8.4,8,81.721205
8.4,8,81.749339
8.4,8,81.774145
9.3,8,81.796714
9.1,10,81.834152
7.1,12,81.873642
9.3,8,81.900466
9.3,8,81.926693
9.3,8,81.957428
9.2,9,81.99342
9.3,8,82.025477
7.3,10,82.054201
8.4,8,82.096385
9.1,10,82.135298
9.3,8,82.162417
9.2,9,82.190265
8.4,8,82.22389
8.4,8,82.251673
7.3,10,82.284117
7.3,10,82.334961
8.4,8,82.377195
8.4,8,82.411343
8.4,8,82.44438
8.3,9,82.470884
8.3,9,82.499001
8.4,8,82.522835
8.3,9,82.565284
8.0,12,82.600971
8.4,8,82.629846
8.7,14,82.679639
8.9,12,82.726714
9.3,8,82.755168
9.3,8,82.785215
9.1,10,82.821447
9.3,8,82.849993
8.4,8,82.875509
8.0,12,82.928365
9.3,8,82.955523
8.4,8,82.981853
8.2,10,83.008756
8.3,18,83.075412
8.0,12,83.116917
8.4,8,83.143613
8.1,20,83.212414
9.3,8,83.24347
8.4,8,83.27181
8.2,10,83.290383
8.2,10,83.316352
8.5,16,83.362474
9.3,8,83.386353
9.3,8,83.405396
8.2,10,83.425708
6.8,24,83.486482
8.4,8,83.504232
8.4,8,83.522896
9.3,8,83.543969
9.2,9,83.571133
9.3,8,83.590425
8.4,8,83.609193
7.5,17,83.653377
8.3,9,83.676566
9.1,10,83.699876
7.5,26,83.764737
7.8,23,83.818618
7.3,28,83.889984
7.8,14,83.916665
7.9,22,83.967885
9.3,8,83.985293
8.2,10,84.008712
8.2,10,84.035179
8.4,8,84.054477
6.8,24,84.109185
7.6,16,84.153654
8.1,20,84.200373
6.8,24,84.25542
8.4,8,84.273511
8.4,8,84.295865
8.4,8,84.315938
8.4,8,84.335934
3.1,61,84.499575
5.2,31,84.578622
7.5,8,84.596593
7.5,8,84.615575
6.4,10,84.634389
7.5,8,84.658871
8.4,8,84.676987
7.3,10,84.70858
8.4,8,84.726376
6.8,24,84.783998
6.3,29,84.847627
5.7,35,84.935939
6.2,30,85.009797
-0.8,100,85.278039
4.8,44,85.379792
7.5,17,85.415656
3.9,53,85.550692
7.0,22,85.600579
0.8,84,85.79194
4.1,51,85.915927
6.1,31,85.990838
8.3,9,86.016225
2.0,72,86.1916
3.7,55,86.326503
8.1,11,86.347037
8.4,8,86.372421
6.3,29,86.447007
7.5,17,86.494107
5.0,42,86.58951
8.4,8,86.614556
8.4,8,86.635043
8.4,8,86.656027
8.4,8,86.67539
8.4,8,86.70308
8.4,8,86.72371
8.4,8,86.742911
8.2,10,86.769497
8.4,8,86.792694
3.0,62,86.935954
8.4,8,86.954954
8.4,8,86.973808
8.4,8,86.999489
8.4,8,87.019036
8.4,8,87.038795
7.3,10,87.06542
8.4,8,87.090732
8.4,8,87.111981
7.3,10,87.136244
8.1,11,87.168081
6.2,30,87.248174
5.5,37,87.330509
3.9,53,87.455864
7.9,13,87.491355
7.9,13,87.546215
6.4,28,87.615993
5.9,24,87.672379
7.6,16,87.713718
5.2,31,87.785767
5.1,41,87.903012
8.4,8,87.925151
8.9,12,87.954052
6.0,32,88.035604
4.8,44,88.15234
8.4,8,88.174606
8.2,10,88.196862
8.4,8,88.22198
8.2,10,88.249746
8.4,8,88.269804
8.4,8,88.288366
6.8,24,88.350087
8.0,12,88.378408
7.7,15,88.411106
8.4,8,88.434157
8.4,8,88.459306
8.4,8,88.47895
8.4,8,88.498124
8.0,12,88.529771
8.4,8,88.564301
7.7,15,88.606991
8.4,8,88.631205
8.2,10,88.662077
8.4,8,88.691427
8.9,12,88.726866
8.4,8,88.750369
6.8,24,88.815046
7.7,24,88.887768
6.6,17,88.932623
8.4,8,88.955124
6.9,23,89.024218
8.3,9,89.051398
8.4,8,89.072921
8.4,8,89.094645
8.4,8,89.113113
8.4,8,89.142509
7.3,19,89.194463
8.0,12,89.236497
2.1,71,89.41919
8.4,8,89.44838
8.4,8,89.469332
7.2,11,89.499522
8.4,8,89.520929
1.2,80,89.753128
7.9,13,89.784472
8.4,8,89.804711
8.4,8,89.825679
8.4,8,89.851207
8.2,10,89.877434
8.4,8,89.898746
8.3,9,89.918075
8.4,8,89.941159
8.4,8,89.960201
8.4,8,89.982351
8.4,8,90.001184
8.4,8,90.024727
8.2,10,90.053673
8.4,8,90.072951
8.4,8,90.091822
9.3,8,90.116522
8.2,10,90.137856
7.3,10,90.165277
8.0,21,90.219573
7.4,18,90.271263
8.4,8,90.290075
8.4,17,90.341371
6.4,28,90.41228
8.4,8,90.439175
8.4,8,90.458268
8.4,8,90.478598
8.4,8,90.498851
9.3,8,90.522128
8.4,8,90.543007
8.4,8,90.56267
5.5,28,90.649444
8.4,8,90.676103
8.4,8,90.701897
8.4,8,90.72505
8.4,8,90.749847
8.4,8,90.776973
8.4,8,90.796103
8.2,10,90.81615
8.4,8,90.835158
2.4,68,91.028777
8.2,10,91.05929
8.4,8,91.082182
8.4,8,91.103222
8.4,8,91.13045
8.2,10,91.152628
8.4,8,91.171111
8.4,8,91.191507
8.4,8,91.216749
8.4,8,91.236453
8.2,10,91.263984
7.0,22,91.31439
8.9,12,91.347752
7.6,25,91.406428
8.4,8,91.426092
8.4,8,91.446582
8.4,8,91.471293
8.4,8,91.490783
8.4,8,91.511672
8.4,8,91.532894
8.4,8,91.558271
7.4,18,91.61335
8.4,8,91.634271
8.4,8,91.663434
7.9,13,91.705049
8.4,8,91.725438
5.7,26,91.796763
8.4,8,91.818512
7.6,16,91.865002
6.8,24,91.923735
8.4,8,91.942224
7.2,20,91.991999
8.4,8,92.017277
9.3,8,92.04227
8.2,10,92.064144
9.3,8,92.085503
9.3,8,92.113164
9.3,8,92.134508
7.5,26,92.201439
8.4,8,92.222344
6.3,29,92.297258
8.4,8,92.316021
8.4,8,92.335772
8.4,8,92.355458
8.4,8,92.381345
6.1,31,92.463829
7.9,13,92.497303
8.2,10,92.517507
8.4,8,92.543017
8.3,9,92.574855
8.4,8,92.595983
9.1,10,92.615112
8.3,9,92.639796
8.4,8,92.658238
8.0,21,92.731996
9.3,8,92.750993
9.3,8,92.774035
7.3,28,92.838287
8.4,8,92.857403
7.3,19,92.897998
8.4,8,92.924952
7.5,17,92.974936
8.4,8,92.994216
2.7,65,93.163705
8.4,8,93.191144
8.4,8,93.213825
8.4,8,93.238415
8.4,8,93.259865
8.2,10,93.294917
8.4,8,93.323623
8.4,8,93.354736
7.5,8,93.382372
8.4,8,93.424613
9.3,8,93.460922
8.4,17,93.529706
9.3,8,93.5612
9.3,8,93.603944
9.2,9,93.635332
9.1,10,93.665897
8.4,8,93.698364
8.4,8,93.754026
8.4,8,93.789106
8.4,8,93.820254
8.4,8,93.852415
8.4,8,93.890056
8.4,8,93.915806
6.7,25,93.995827
5.8,34,94.099221
7.8,23,94.19233
7.3,19,94.260803
8.2,10,94.288868
8.4,8,94.316791
8.4,8,94.348052
8.3,9,94.373468
8.4,17,94.442162
8.0,12,94.483901
8.5,16,94.542524
8.4,8,94.568025
9.3,8,94.594738
9.3,8,94.621332
8.4,8,94.654675
8.4,8,94.683095
8.4,8,94.720237
6.0,32,94.856758
9.3,8,94.889327
7.1,21,94.961987
8.2,10,94.995335
8.2,10,95.042231
8.5,16,95.107059
9.3,8,95.133744
9.1,10,95.162592
8.4,8,95.188384
8.4,8,95.227386
8.4,8,95.255978
6.0,32,95.355427
8.4,8,95.379079
8.4,8,95.407496
8.2,10,95.445422
8.6,15,95.492362
9.3,8,95.516262
8.2,10,95.54325
9.3,8,95.566463
9.3,8,95.591275
9.3,8,95.615772
8.4,8,95.643381
8.4,8,95.667398
7.3,10,95.703912
8.4,8,95.732026
8.3,9,95.761304
7.0,31,95.856771
8.4,8,95.882919
9.3,8,95.913801
8.2,10,95.946783
6.2,30,96.040488
9.2,9,96.063911
9.3,8,96.088688
8.4,8,96.123483
6.9,23,96.202759
8.4,8,96.227886
7.6,16,96.278985
9.3,8,96.314277
8.5,16,96.374033
9.3,8,96.401059
9.3,8,96.431399
9.3,8,96.471376
7.0,31,96.572401
7.5,8,96.602956
9.3,8,96.629261
9.2,9,96.673394
9.3,8,96.70714
8.2,10,96.742054
9.3,8,96.773063
9.1,10,96.817493
9.3,8,96.84527
9.3,8,96.872614
9.2,9,96.89741
9.3,8,96.939254
9.3,8,96.975089
9.3,8,97.002003
9.0,11,97.044755
8.4,8,97.0783
8.4,8,97.106948
9.3,8,97.134243
9.3,8,97.164739
7.7,24,97.261343
9.3,8,97.289227
9.3,8,97.316111
9.3,8,97.336304
8.4,8,97.358842
8.3,9,97.378079
8.2,10,97.396769
8.4,8,97.416095
7.1,12,97.454356
7.7,24,97.511978
9.2,9,97.538576
9.3,8,97.557024
9.3,8,97.583701
9.3,8,97.602216
9.2,9,97.622027
8.6,15,97.659369
9.3,8,97.685751
9.3,8,97.710457
9.2,9,97.730762
8.2,10,97.753152
7.6,25,97.821949
9.3,8,97.841982
9.3,8,97.862199
8.4,8,97.882472
9.1,10,97.910785
8.7,14,97.952227
8.4,8,97.971063
8.4,8,97.99134
8.3,9,98.027582
8.4,8,98.049757
8.4,8,98.068354
6.9,23,98.124679
9.3,8,98.149871
9.3,8,98.168875
6.9,32,98.24957
9.3,8,98.270292
9.3,8,98.296388
7.5,8,98.318969
8.1,11,98.338596
8.4,8,98.357475
8.4,8,98.380561
8.4,8,98.399011
8.4,8,98.418453
5.8,25,98.485911
8.4,8,98.509773
6.4,28,98.574465
8.4,8,98.592485
8.3,9,98.612208
8.4,8,98.635946
8.2,19,98.682801
9.3,8,98.704226
9.3,8,98.723746
9.3,8,98.750877
7.5,8,98.771049
9.2,9,98.793112
9.3,8,98.812105
9.3,8,98.835639
9.3,8,98.854599
6.5,27,98.920862
8.2,10,98.939879
9.3,8,98.963284
9.2,9,98.981824
9.1,10,99.010307
9.1,10,99.030464
8.4,8,99.06104
8.2,10,99.091418
9.3,8,99.110493
9.3,8,99.128768
9.3,8,99.154714
9.3,8,99.173303
9.3,8,99.192767
9.3,8,99.215248
3.8,63,99.371219
8.4,8,99.389267
8.1,11,99.408517
8.4,8,99.427277
5.5,37,99.530292
9.3,8,99.548813
9.3,8,99.567052
8.5,16,99.603897
8.4,8,99.627835
8.4,8,99.646054
8.4,8,99.664008
5.1,32,99.74611
9.3,8,99.772839
8.2,10,99.791754
7.5,26,99.855019
8.3,9,99.875175
8.4,8,99.898771
8.4,8,99.917189
8.4,8,99.938492
8.4,8,99.957365
6.9,23,100.017439
9.3,8,100.040684
9.3,8,100.059211
9.3,8,100.079481
8.1,20,100.143998
9.3,8,100.165319
9.3,8,100.184264
9.3,8,100.204506
9.1,10,100.230736
9.3,8,100.249756
9.2,9,100.270189
4.7,36,100.354509
9.3,8,100.377087
8.4,8,100.395485
7.1,30,100.472994
8.6,15,100.511396
9.2,9,100.534921
7.0,22,100.582013
9.3,8,100.601325
9.3,8,100.620394
9.3,8,100.64574
8.4,8,100.664602
7.3,10,100.699521
8.4,8,100.719932
8.4,8,100.74362
6.5,27,100.810726
9.3,8,100.830433
9.3,8,100.850944
9.0,11,100.876047
8.2,10,100.902483
8.4,8,100.921053
7.3,10,100.9419
8.4,8,100.966666
8.4,8,100.98504
8.4,8,101.003705
8.4,8,101.02561
6.3,29,101.105716
9.0,11,101.130381
9.3,8,101.156034
9.3,8,101.176803
9.2,9,101.213398
8.4,8,101.233435
8.4,8,101.254399
9.0,11,101.274739
8.4,17,101.340497
9.3,8,101.368886
9.3,8,101.393232
9.3,8,101.414669
9.3,8,101.444012
9.3,8,101.467373
7.6,25,101.539994
9.3,8,101.566868
9.2,9,101.597846
7.5,26,101.689562
8.4,8,101.72188
8.4,8,101.747895
8.4,8,101.783909
7.6,16,101.83126
8.2,10,101.858757
9.3,8,101.88207
9.3,8,101.911702
9.3,8,101.937931
9.2,9,101.964397
9.3,8,101.988376
9.3,8,102.017477
9.3,8,102.043857
9.2,9,102.075903
9.1,10,102.095851
9.3,8,102.126201
9.3,8,102.148233
6.7,34,102.27051
9.2,9,102.293792
9.3,8,102.320567
6.1,31,102.413728
9.3,8,102.448166
9.3,8,102.477435
7.5,17,102.567939
9.3,8,102.597495
7.4,9,102.620361
8.7,14,102.664903
9.3,8,102.708328
9.3,8,102.733196
9.3,8,102.754818
7.3,28,102.838192
8.4,8,102.876501
5.6,36,102.992782
9.3,8,103.017344
9.3,8,103.045441
9.3,8,103.078094
9.3,8,103.103811
8.4,8,103.140135
8.4,8,103.161963
8.4,8,103.198019
6.0,32,103.313048
9.3,8,103.335603
9.3,8,103.360239
9.3,8,103.393807
9.3,8,103.417172
9.3,8,103.454256
7.3,28,103.52574
8.4,8,103.554563
6.9,32,103.641366
8.4,8,103.667219
7.3,10,103.697293
9.3,8,103.737076
7.7,15,103.790417
8.2,19,103.856321
7.3,19,103.906496
8.4,8,103.943202
6.3,29,104.037229
8.4,8,104.059931
9.3,8,104.08336
9.2,9,104.113235
8.1,20,104.176888
9.3,8,104.199171
8.8,13,104.235343
4.3,40,104.368912
9.3,8,104.392611
8.1,20,104.452105
9.3,8,104.474978
9.3,8,104.506308
9.2,9,104.529106
9.2,9,104.560772
9.3,8,104.582983
9.3,8,104.613431
9.3,8,104.639367
8.1,20,104.694632
9.3,8,104.715557
9.3,8,104.74417
3.2,60,104.92865
9.0,11,104.957184
9.2,9,104.994212
9.3,8,105.025926
9.3,8,105.050972
9.3,8,105.074044
9.3,8,105.094348
9.2,9,105.120857
7.7,15,105.161652
8.4,8,105.185451
9.0,11,105.213763
8.8,13,105.277071
9.1,10,105.31674
9.3,8,105.342852
9.3,8,105.369369
7.9,22,105.460284
9.3,8,105.487173
9.3,8,105.50851
9.3,8,105.530335
9.2,9,105.558857
8.9,12,105.590431
7.8,23,105.680139
9.3,8,105.713366
6.8,24,105.785064
8.4,8,105.804638
6.0,32,105.894443
9.3,8,105.91913
9.3,8,105.95116
7.8,14,105.979645
9.3,8,105.997869
9.3,8,106.016047
8.7,14,106.056297
8.2,10,106.075496
8.8,13,106.105158
5.8,25,106.178248
8.4,8,106.204868
9.3,8,106.224442
6.0,32,106.311095
9.2,9,106.337554
9.3,8,106.368831
8.2,19,106.417108
8.6,15,106.449971
3.9,53,106.592875
9.3,8,106.626355
6.9,32,106.712795
9.3,8,106.733488
9.3,8,106.753056
5.6,36,106.851318
9.3,8,106.871487
9.1,10,106.891215
9.3,8,106.910351
9.1,10,106.943776
9.1,10,106.965523
8.3,9,106.985033
9.3,8,107.005085
8.0,21,107.070125
9.3,8,107.089395
9.3,8,107.110144
9.3,8,107.130112
8.3,18,107.176794
8.7,14,107.216918
9.3,8,107.237812
9.3,8,107.258324
8.5,16,107.306054
9.3,8,107.326651
9.3,8,107.360957
9.3,8,107.391639
6.8,24,107.497939
9.3,8,107.526865
6.0,32,107.644564
9.3,8,107.668895
9.3,8,107.708349
9.3,8,107.73768
8.5,16,107.79133
9.3,8,107.818061
9.3,8,107.855258
9.3,8,107.882934
9.2,9,107.912145
6.6,35,108.033566
9.3,8,108.071927
9.1,10,108.096762
7.4,18,108.156676
9.3,8,108.18228
7.5,8,108.224251
9.2,9,108.250036
8.2,19,108.314375
9.1,10,108.340506
9.3,8,108.377861
6.2,30,108.494699
9.3,8,108.519021
9.3,8,108.543815
9.3,8,108.580221
9.3,8,108.611382
9.2,9,108.636801
9.3,8,108.66271
8.4,8,108.697019
4.9,43,108.870054
9.2,9,108.900303
9.2,9,108.927992
7.7,15,108.994056
8.6,15,109.057759
9.3,8,109.087187
9.2,9,109.115589
8.6,15,109.178998
8.9,12,109.218174
8.0,12,109.256718
6.8,24,109.336415
9.3,8,109.37784
9.3,8,109.405054
7.3,28,109.498852
8.9,12,109.545371
9.3,8,109.588435
9.2,9,109.613516
9.3,8,109.641965
8.7,14,109.679047
9.3,8,109.724242
9.3,8,109.750981
9.3,8,109.777789
7.6,25,109.873333
9.3,8,109.901596
9.3,8,109.929057
9.1,10,109.962119
9.3,8,109.990057
9.3,8,110.02504
5.9,42,110.174895
9.3,8,110.204238
9.3,8,110.231938
9.3,8,110.261961
6.4,28,110.348285
9.3,8,110.374936
7.3,28,110.475272
9.2,9,110.517914
9.3,8,110.553049
9.1,10,110.587465
9.2,9,110.632445
8.4,8,110.66237
9.3,8,110.693803
9.3,8,110.720911
8.5,16,110.773355
9.2,9,110.807898
9.3,8,110.84156
9.1,10,110.872655
8.0,21,110.953374
9.3,8,110.987554
9.3,8,111.014936
5.4,29,111.120402
5.0,42,111.257591
8.2,10,111.300652
8.2,19,111.371603
9.3,8,111.400661
8.3,9,111.420057
9.3,8,111.44728
7.0,31,111.524256
9.3,8,111.544928
9.3,8,111.563373
7.3,28,111.643224
9.3,8,111.662757
6.1,40,111.760755
9.3,8,111.7794
9.3,8,111.804517
9.3,8,111.822631
7.3,28,111.888864
9.3,8,111.90976
8.0,12,111.942838
7.2,20,111.990642
9.3,8,112.011164
9.3,8,112.030077
7.7,24,112.092438
9.3,8,112.110612
9.2,9,112.132293
8.2,19,112.187131
9.3,8,112.211889
7.3,28,112.283229
9.3,8,112.302226
9.2,9,112.32146
7.4,27,112.396906
9.3,8,112.416356
8.4,8,112.438167
9.3,8,112.457512
9.3,8,112.482144
9.3,8,112.501775
6.7,16,112.542866
8.2,10,112.56302
8.9,12,112.604421
8.7,14,112.643051
9.2,9,112.671858
6.5,27,112.747855
9.2,9,112.777821
7.8,23,112.834091
9.3,8,112.853365
7.3,28,112.920498
9.3,8,112.946368
8.9,12,112.978015
9.3,8,112.997515
8.4,8,113.019894
9.3,8,113.046416
8.1,20,113.099148
9.3,8,113.118222
9.3,8,113.140724
9.3,8,113.164765
9.1,10,113.185096
9.3,8,113.204452
8.9,12,113.234197
9.2,9,113.259243
7.9,13,113.297877
9.3,8,113.31743
9.0,11,113.338231
8.4,17,113.393369
9.2,9,113.413109
9.3,8,113.434617
